Company,Company Score,Original Title,Location,Primary Title,Secondary Title,Experience Level,Min Salary,Max Salary,Avg Salary,Salary Source,Is Hourly Converted,Date
MassMutual Ascend,4,Senior Software Engineer II,"Cincinnati, OH",Software Engineer,n/a,Senior,182000,244000,213000,Employer,No,19d
Washington DC government,4.7,React Developer,Remote,Software Engineer,React,Intermediate,96000,116000,106000,Employer,No,2d
AnaVation,3.7,Software Developer,"Quantico, VA",Software Engineer,n/a,Intermediate,68000,136000,102000,Employer,No,3d
3R Info,3.9,Software Engineer,"Canton, MI",Software Engineer,n/a,Intermediate,93000,132000,112500,Glassdoor,No,30d+
Strategic Mission Elements,3.5,Software Developer (TypeScript/JavaScript),"Chantilly, VA",Software Engineer,"JavaScript, TypeScript",Intermediate,77000,125000,101000,Glassdoor,No,26d
"IPSecure, Inc.",3.9,Senior Software Engineer,"Patrick AFB, FL",Software Engineer,n/a,Senior,52000,200000,126000,Employer,No,4d
RELX,3.2,Software Engineer II,Unknown,Software Engineer,n/a,Intermediate,81000,118000,99500,Glassdoor,No,2d
Solventum,3.6,Software Engineer - Front-end (Solventum),"Maplewood, MN",Software Engineer,Frontend,Intermediate,128000,192000,160000,Employer,No,3d
Focus Technology Solutions Inc,3,Cloud Engineer,"Boston, MA",Cloud Engineer,n/a,Intermediate,150000,225000,187500,Employer,No,4d
"Adams, Inc.",3.2,Software Engineer,Unknown,Software Engineer,n/a,Intermediate,85000,120000,102500,Employer,No,4d
CPS Insurance Services,3.4,Junior Software Developer,"Phoenix, AZ",Software Engineer,n/a,Entry,192000,245000,218500,Employer,No,1d
Cephas,3.1,Software Engineer,"Melbourne, FL",Software Engineer,n/a,Intermediate,114000,182000,148000,Employer,No,4d
Chubb,3.4,Software Engineer - Java Springboot (DT),"Whitehouse Station, NJ",Software Engineer,Java,Intermediate,102000,134000,118000,Glassdoor,No,3d
Uber Freight,3.6,Software Engineer III - Mobile (Multiple Openings),"San Francisco, CA",Software Engineer,Mobile,Senior,101000,160000,130500,Employer,No,9d
Consumers Energy,4.8,Assoc Software Engineer,"Jackson, MI",Software Engineer,n/a,Intermediate,90000,124000,107000,Glassdoor,No,6d
U.S. Bank National Association,3.4,Senior Software Engineer,"Hopkins, MN",Software Engineer,n/a,Senior,88000,128000,108000,Glassdoor,No,1d
MedImpact Healthcare Systems,3.5,Software Engineer IV,"San Diego, CA",Software Engineer,n/a,Senior,83000,131000,107000,Glassdoor,No,30d+
IMC Financial Markets,3.1,Graduate Software Engineer,"Chicago, IL",Software Engineer,n/a,Entry,70000,90000,80000,Employer,No,17d
Truveta,4,Software Engineer - Normalization,"Seattle, WA",Software Engineer,n/a,Intermediate,164000,182000,173000,Employer,No,3d
"Signature Science, LLC",4.2,Software Engineer,"Egg Harbor Township, NJ",Software Engineer,n/a,Intermediate,73000,92000,82500,Employer,No,23d
JYG Innovations,4.1,Web Developers,"Frederick, MD",Software Engineer,n/a,Intermediate,108000,200000,154000,Employer,No,2d
Vensit,3.5,Software Engineer,"Sayreville, NJ",Software Engineer,n/a,Intermediate,123000,160000,141500,Glassdoor,No,30d+
Independent Software,3.9,Software Engineer - Apprentice,Unknown,Software Engineer,n/a,Intermediate,112000,141000,126500,Glassdoor,No,17d
"Visionist, Inc.",3.5,Junior Software Engineer,"Fort Meade, MD",Software Engineer,n/a,Entry,101000,160000,130500,Employer,No,10d
